"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,
"China","924","Debt to GDP Ratio","GGXWDG_GDP","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.971136206213822","3.30522164264305","3.24081931183361","3.59908671730818","4.46059881373789","6.4970532173622","6.94778396404146","7.42832254107961","4.98078345666379","6.71309510236496","6.13720214160056","21.4472610864655","21.2587045245831","20.4481956542512","20.4963182884515","21.6875467028869","22.8089333684925","24.3842425951406","25.7109592211718","26.5740068842788","26.1683665960703","26.0984784775641","25.3819473053517","29.0355432523223","27.0002058697859","32.5567175430411","33.0897958631988","33.0862095544953","34.0214597623741","36.9283752959174","39.830932080445","42.9192832514333",
"Mexico","273","Debt to GDP Ratio","GGXWDG_GDP","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11.2792224848962","11.1601796407186","11.0476416212373","11.2134173795588","15.0213857998289","15.0934579439252","14.7259745272096","14.6104491292392","32.9520697167756","31.0011966493817","35.0701489315778","17.5644206909716","17.1731577985006","21.4277120513335","21.5922678357912","22.9816985399959","24.5522707797772","28.117591275486","37.6419213973799","34.8625066102591","32.1561069621778","30.4361233480176","26.7358772914328","22.3029411764706","20.3639609943689","19.2652536929994","21.6656564432052","21.1275996533796","20.8145304746747","10.4618335251247","6.39061752034466","6.99212292132646",,"0.0722044934403507","0.0785474759070723","0.0801749271137026","0.0782676754500392",,,,"3.49951309240424","4.0339577804182","4.19597745821998","3.98067779977328","4.10391468826355","4.05932998039383","4.6267759528625","4.50120067422476",,,,"5.71112856181288","8.98497960941601","8.69253134374279","11.7804800782531",,"17.0511","17.0233","17.8714","19.9557","21.6798","24.4317","31.3435","41.4919","38.9524","35.7782","31.4137",,"47.5522","57.4069","53.9778","51.9132","78.1448","77.6509","73.2093","59.7947","53.5187","44.0691","34.2539","31.4806","30.9095","56.8034","46.5869059116188","42.611256524622","44.0939094220829","46.3182335443887","41.8499505067964","41.1107762442298","43.4660996863675","44.7471639177726","40.8445934155735","39.0188204030331","37.7524853084487","37.5339375331576","42.8273315710826","43.9241866618858","42.2294449566621","43.1994354732541","43.1709760843807","46.3520215538119","49.498875227633","54.0277924040666",
"Hungary","944","Debt to GDP Ratio","GGXWDG_GDP","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24.8590466427473","22.5066045066045","24.6192893401015","24.0573552841211","36.8142857142857","37.3249113475177","36.3238610735228","36.9849246231156","35.4346504559271","30.2234220815491","27.7977044476327","32.7583291053611","44.8982601002654","50.3260146373919","53.126022913257","56.579634464752",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"87.3018","84.9011","85.5903","96.4301","104.648","112.755","101.824","101.329","117.244","127.635","119.576",,,"84.4562324261401","71.5616911105966","62.1159910608342","60.0371306922271","59.8793323028866","55.1416614896205","51.7425564494378","54.9941226424875","57.6020541563176","58.5187076448641","60.4862906960177","64.6739216440896","65.615688007831","71.6474206874259","77.9584861398317","80.5818304546166","80.759531248967","78.2944596438808","76.7545024522697","76.1790970732884","75.3258787954025",
"Japan","158","Debt to GDP Ratio","GGXWDG_GDP","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10.3351851851852","10.1749056603774","46.7956777996071","42.5571669477234","32.8775295663601","34.0160982264666","30.998362720403","32.1538770053476","32.0650704225352","32.5519515477793","30.6018610421836","31.2265","31.2904645476773","29.6847575057737","27.2306806282723","26.0640151515151","24.1111501316945","24.7016888888889","22.3737677527151","24.3742899850523","26.3955541237113","24.6299519807923","21.5250383239653","18.8355970829535","21.874114088159","21.4898094449047","22.8875201288245","23.0437524635396","22.8972922848665","35.6273447820343","68.5339169909209","70.474348879467","61.5826876836762","60.8818640467339","70.1385978835979","70.8367133757962","61.4416311897827","57.6176790950985","53.5909435467784","55.9248417053609","53.2494690442797","43.3096128822381","33.4333216945996","27.4958020103049","22.5829482948295","25.5814041268244","29.092241031842","29.5504462852373","33.8370075046904","33.1485041088855","33.3774239163849","35.2269295774648","36.7378567482968","39.0618805282927","40.3795100085963","49.4063465703971","56.3360063897764","60.653292954075","62.2057625226734","62.4030308831036","62.8963308234732","63.4965505617977","57.0104798087595","66.8886089650282","71.2322552368286","78.6951670220327","93.0736992159658","105.089917990585","133.35886500376","203.953562943774",,"55.9791139240506","27.5498090145149","19.6702175543886","18.8825185185185","14.0361540410438","11.8564107274063","13.199393262015","12.0642664776754","11.9108287575022","12.2961537119529","10.3677353151528","8.76961524208928","9.07941680526125","9.01611858674534","8.03498075608791","6.06295238661828","5.73548063487514","4.51630662711696","4.43823787734747","5.23281001501541","6.70616566202086","8.22128133248933","8.70990954920196","11.9633146535427","11.9455234832035","14.1773211595273","18.3835425340178","18.10735552414","18.868394689533","23.8675624304287","29.0687790656266","35.1155346419807","41.6912669185656","47.587432271401","50.6270888986885","55.2943548846749","59.2582899606027","64.8328860929031","66.3435953091449","66.667570045143","69.9280624343941","72.4557788459806","70.3517990832513","67.2988075993462","67.0434276424559","66.4905122712377","71.2210471253563","77.2671292609135","86.2176105183427","95.0702890472505","102.294120266878","109.104368267252","121.632211156615","135.609446644317","143.77848821245","153.634535360275","163.991910198799","169.571821213672","180.656881705787","186.436357791083","185.997272477881","183.01235615289","191.812143150576","210.246836069046","215.821204619488","231.629354760934","238.014556574821","244.477405513901","249.113739092857","247.975864153389",
"United States","111","Debt to GDP Ratio","GGXWDG_GDP","Value","18.082788671024","15.719696969697","16.469387755102","15.7991803278689","16.1797752808989","13.902027027027","12.4302134646962","12.2695035460993","14.1431670281996","11.3545816733068","9.89795918367347","8.27586206896552","7.94376098418278","8.98876404494382","11.6262482168331","12.2906403940887","14.9063231850117","14.5808736717828","12.6838235294118","12.6657824933687","13.8719512195122","14.827018121911","13.28125","13.0042918454936","12.0239680426099","9.85882352941177","9.17420814479638","8.52534562211981","7.66174801362089","6.45303867403315","5.20900321543408","3.64398881640261","2.1038961038961","0.539291217257319","0.360090022505626",,,"0.0218579234972678","0.187713310580205","0.538302277432712","0.208092485549133","0.303899082568807","0.81437125748503","1.99877750611247","1.2954796030871","0.812883435582822","0.756547041707081","1.66167023554604","1.98061525495154","2.6919795221843","2.50295624753646","2.52029520295203","2.19602559784439","1.74293208976975","1.08734862148931","0.87988136431043","0.762631077216397","0.664967562557924","1.10373647984267","1.36459062281316","1.44481605351171","1.93962748876044","9.51361161524501","15.2540525813922","19.0575146935348","28.451976200595","30.1081612586037","29.8950930626057","29.7626728110599","29.6251891514375","29.8847050165583","28.9358255451713","23.6161572985681","23.1311827956989","24.9843840370156","25.4671075941892","24.5427320893803","22.9457870672763","23.8160361751406","23.7416090054735","17.5087924970692","17.0577800304105","13.8100550349546","13.7693906924676","13.2938000981515","12.9542097488922","11.5906720309939","10.5904032374621","10.1369060692584","8.58821912158911","7.7337559429477","6.46401028277635","6.17750271166975","6.32375189107413","7.46458195698451","7.08774877229258","7.99463842029554","7.704094448631","7.43486127864898","7.76049262680279","6.54950751684811","5.64718934911243","5.3072625698324","4.77866622702168","4.88605091159271","4.42032945585136","3.79152424252481","3.71634973598108","4.48921247236411","3.74771540469974","3.62839697554494","3.54020308617357","3.4117344460004","3.24926462577623","3.46666666666667","3.30723744482385","2.74108381438224","5.71670092793606","18.6400778210117","33.2821825495292","27.9103397578737","32.42832025967","31.5349016053503","26.3222546756489","24.4197511002838","22.4591402204731","20.1559678213758","19.1234685233776","18.1853210061464","16.3270009643202","17.7276013143483","21.9338120104439","33.141156462585","39.9622340425532","40.9895454545455","39.1553888130969","40.3566308243728","39.6350380848749","43.1645760743322","43.9559782608696","42.4160908193485","38.6435674822415","44.7604449938195","68.8992439516129","91.4899408284024","116.000986547085","121.197525865947","105.681833060556","93.5801928783383","94.423010833022","87.4472986748216","75.1758468335788","72.2546569994423","70.0371413529876","71.1780635003936","66.0824181117534","62.2718721461187","58.6191115926327","59.0603120324856","56.1107410327158","54.2910125142207","52.9541689573025","50.844126172208","49.4358493615646","46.9164509331728","44.0597000416609","40.5304827061954","39.1105263157895","38.1325726823917","35.8997564193647","35.6755506396076","36.1665780613149","35.1447920025798","33.655070371707","32.2380413057961","33.1412059686888","34.4848950052086","34.7739490006892","33.8256021603728",,"41.178805055066","40.3255759633128","44.9798206278027","47.8485208727023","49.5133268988047","54.0917467073101","57.5213311184336","59.2754917662519","60.1462316460817","60.2791795179978","61.9868217508006","66.3689246480213","68.6053117509204","70.1920130257171","69.3935994089236","68.8004906022273","68.0278513360864","65.6206470948687","62.4721741641797","58.8776912173976","53.0320781167621","53.0219430276812","55.3787579622911","58.5172633229589","65.4922779568918","64.8931394487425","63.641199777712","64.014304832457","72.8473238747637","86.0340772155652","94.7320173211088","98.9947753968395","102.497522477213","104.621196417338","104.605125020842","105.151987758259",
"Greece","174","Debt to GDP Ratio","GGXWDG_GDP","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"73.8095949426364","53.7519142419602","48.1896991330954","88.672032193159","119.852549476135","113.497328173945","134.084302325581","144.154349284831","152.541573275862","161.583323328331","216.976076555024","193.261762040611","223.496057078483","190.707313532455","181.001969022903","190.688729508197","218.057921937116","205.452533333333","209.321863636364","194.541697450771","189.619928471466","164.127288401254","148.946037735849","117.874238339175","121.763340980786","111.131028185788","110.739331562019","81.0570498452343","80.2227971757423","64.6947741065408",,,,,,,,,,,,,,,"80.3767391304348","84.5284444444444","89.7727906976744","105.922820512821","97.8147727272727","88.0836734693878","80.5405660377359","81.7912727272727","80.2767796610169","72.9847058823529","76.7283582089552","77.8173134328358",,,,,,,,,,,,,"23.581072555205","20.155737704918","17.4199592668024","15.1368782161235","13.735650887574",,"10.4351851851852","9.68865740740741","11.5794594594595","12.5342857142857","15.0372727272727","22.575","21.4379562043796","16.5142857142857","18.9786982248521","21.1491803278689","23.0284263959391","25.7827272727273","24.6949612403101","24.972027972028","26.5224242424242","21.9827102803738","22.5076923076923","24.0797639123103",,,,"22.5188381720294","22.5262225909015","26.6814152653896","29.3098874513469","33.5906882434887","40.0606007538189","46.6212670562757","47.1419595042172","52.4127219085322","57.0691157864057","59.8213856302527","73.1545328244661","74.6827922572712","79.9677107169005","100.288476706442","98.295613094589","98.9899424052265","101.335442607995","99.4516702698933","97.4246186024604","98.9064870804027","104.934618080384","107.081093867038","104.862933666134","101.456080042481","102.870181089843","107.392015739653","103.573821960691","103.102774017491","109.415678333815","126.744802849276","146.249850684198","172.096179762256","159.564653459133","177.677131088924","180.062964986286","176.938241025321",
"United Kingdom","112","Debt to GDP Ratio","GGXWDG_GDP","Value","176.84","177.47","188.99","190.67","188.4","189.07","192.64","193.88","191.51","188.99","186.69","182.51","188.11","196.74","219.62","226.31","237.32","231.09","259.04","260.29","259.95","260.34","246.73","237.29","224.8","212.72","201.07","191.97","182.7","173.55","181.574158325751","177.913555102964","187.294005254359","190.04854368932","177.487505679237","164.522292993631","155.713159968479","163.341594382487","151.857555341675","143.465598835093","154.677387723083","164.180344899231","172.849989113869","172.988881621975","157.046847203005","147.122369156267","135.700741251508","130.086149768058","136.743143005003","135.153990131019","148.512071869736","139.745177844629","137.36013986014","131.653181242397","125.095251792029","120.89837660479","120.036897097274","121.578103503447","125.038939786526","117.58376816188","115.500355015448","108.474056453491","106.619749761988","100.907765758139","95.230712589532","91.060027261659","86.9486709455024","87.6716353167139","84.5780997351189","83.1221582125827","77.3530462257828","71.7103749206297","67.4093113475502","61.8401434850711","63.0810622938481","63.6543429488177","65.4335344016375","65.8060343199093","67.4606596944995","70.2795118658702","65.4011914944856","64.3604947205268","61.5469800853218","61.4962196893751","56.0508150597027","57.7860405901101","57.4823029250478","55.4303523737496","51.31931324756","47.1481778004592","45.903151594614","46.4329192994458","47.4749090514637","47.3891711384417","44.1155677158266","43.1104687713125","41.1028481764663","40.3786242484683","37.7709771394922","35.088183840776","32.4402483058456","35.7951205076376","38.9684483294854","41.1958413401977","40.7136663333704","39.0348470292338","37.4050125389801","35.332448483192","35.6765662881594","34.8774884406493","34.5133512900054","31.6143557772292","29.7922332874336","27.898613339666","27.2711527057962","39.2826065474793","65.5849133226508","97.8458154958671","119.099185790666","142.766153896605","137.793835235798","158.409787158857","183.482299361244","195.543599636508","188.806841337544","176.974641692607","187.124844952779","177.452234818504","175.780389464689","170.523925722734","170.996993414215","184.826075147549","190.147446389568","193.966309714089","186.635420149321","178.088098379971","170.194736878342","158.69138808483","155.081206165607","149.68408125153","121.058604769515","133.687263517283","153.2039174871","173.99243762092","200.634611178022","234.686434092043","269.797596885853","264.124919999567","239.573393207971","220.273204903678","216.918159643368","196.762606318348","180.858201132155","169.75748093096","163.225628109835","154.185900005727","143.758842614755","135.734539969834","131.127649325626","124.87041430918","117.94435463286","113.751661363728","110.521263060493","108.554330823238","101.081081081081","94.6061548026111","91.9492942868042","89.1478508111724","88.5483411463055","82.8373963920039","73.2353918030246","65.5545099884334","62.0416183369977","54.5621847123393","51.6014404218378","46.677779697712","48.8844339215042","50.4586397818362","51.626111676186","45.3001922959945","42.7739187085356","45.0873214703279","43.3913093624823","42.1844248579752","42.5932269923081","41.5364337065022","41.5154237699307","39.6151343236912","37.3416126108951","32.8084169869794","28.8210002262955","28.8008675745447","33.6616096861161","38.5309415976109","41.4241589385363","44.4455600098488","44.5512375405981","43.8667312843836","41.6417085242597","39.5527832315745","36.980357362589","34.3043526760815","34.2348795721152","35.7559948134692","38.6611274345262","40.013715541695","41.0167595923179","42.2101522643691","50.2670285861869","64.2034434624429","75.7370556186917","81.3242734330954","84.817533151368","85.9951033679148","87.9353408542206","88.9843599563534",
"Russia","922","Debt to GDP Ratio","GGXWDG_GDP","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80.6554247534203","87.1452702702703","78.4675072744908","73.1916578669483","77.7598118477142","74.9558823529412","80.5902038332826","75.714475608135","74.2004264392324","78.1690975927902","85.631067961165","78.9473684210526","69.134321849106","59.8079161816065","55.764579414136","56.6593687283342","56.4618086040386","52.4057422306357","55.5220883534137","53.3081855903433","62.2153455526462","68.0069378744875","64.7735708982925","58.7637763909175","56.0384376937384","52.4877935363869","52.82774075603","45.1869611794113","48.7910786539031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"116","92.4","63.5","53.7","51.9","54.7","73.1","88.7","55.7122837414325","44.3139425978729","37.4721450545673","28.2549958426697","20.7696783838296","14.8091201957035","9.77649767991868","8.01024550009798","7.42542891479877","9.89047094854029","10.5597839084988","10.9132451451554","11.7610407773257","13.0755160405933","15.8939509988441","16.423031942607",
